observation,site,year,beetle,visits,wild,managed,samples,vists/flower/min,crop
1,wooster,2022,0,4,4,0,3,0.266666667,pumpkin
1,wooster,2022,0,2,1,1,2,0.2,pumpkin
2,wooster,2022,0,20,17,3,7,0.571428571,pumpkin
4,wooster,2022,0,29,21,8,7,0.828571429,pumpkin
1,wooster,2023,1,12,1,11,5,0.48,pumpkin
2,wooster,2023,1,12,5,7,5,0.48,pumpkin
3,wooster,2023,1,4,1,3,3,0.266666667,pumpkin
1,wooster,2022,1,4,2,2,2,0.4,pumpkin
1,wooster,2022,1,10,5,5,4,0.5,pumpkin
2,wooster,2022,1,7,5,2,4,0.35,pumpkin
4,wooster,2022,1,9,8,1,3,0.6,pumpkin
1,wooster,2023,2,17,5,12,6,0.566666667,pumpkin
2,wooster,2023,2,17,9,8,6,0.566666667,pumpkin
1,wooster,2022,2,3,3,0,2,0.3,pumpkin
1,wooster,2022,2,15,13,2,6,0.5,pumpkin
2,wooster,2022,2,11,11,0,8,0.275,pumpkin
4,wooster,2022,2,3,2,1,3,0.2,pumpkin
1,wooster,2023,3,3,1,2,3,0.2,pumpkin
2,wooster,2023,3,3,2,1,2,0.3,pumpkin
1,wooster,2022,3,1,1,0,1,0.2,pumpkin
1,wooster,2022,3,12,10,2,7,0.342857143,pumpkin
2,wooster,2022,3,11,10,1,4,0.55,pumpkin
4,wooster,2022,3,7,6,1,5,0.28,pumpkin
1,wooster,2023,4,2,0,2,2,0.2,pumpkin
2,wooster,2023,4,1,0,1,1,0.2,pumpkin
1,wooster,2022,4,3,2,1,2,0.3,pumpkin
2,wooster,2022,4,7,6,1,4,0.35,pumpkin
1,wooster,2023,5,3,0,3,2,0.3,pumpkin
2,wooster,2023,5,1,0,1,1,0.2,pumpkin
1,wooster,2022,5,5,4,1,6,0.166666667,pumpkin
2,wooster,2022,5,7,7,0,3,0.466666667,pumpkin
1,wooster,2022,6,2,2,0,2,0.2,pumpkin
2,wooster,2022,6,1,1,0,1,0.2,pumpkin
2,wooster,2022,7,1,1,0,1,0.2,pumpkin
2,wooster,2022,7,1,1,0,1,0.2,pumpkin
2,wooster,2022,8,2,2,0,2,0.2,pumpkin
2,wooster,2022,10,1,1,0,1,0.2,pumpkin
3,wooster,2022,11,2,2,0,1,0.4,pumpkin
2,wooster,2022,15,1,1,0,1,0.2,pumpkin
